datetime,portfolio_value,cash,positions,return
2023-12-15 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2023-12-16 09:30:00-05:00,100000.0,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",0.0
2023-12-18 09:30:00-05:00,99985.59997558594,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",-0.00014400024414062962
2023-12-19 09:30:00-05:00,99986.30004882812,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",7.0017406741396115e-06
2023-12-20 09:30:00-05:00,99993.69995117188,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",7.40091626565409e-05
2023-12-21 09:30:00-05:00,99985.70007324219,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",-8.000381957662395e-05
2023-12-22 09:30:00-05:00,99976.49993896484,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",-9.20145007796691e-05
2023-12-23 09:30:00-05:00,99976.49993896484,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",0.0
2023-12-26 09:30:00-05:00,99960.80001831055,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",-0.00015703611012474195
2023-12-27 09:30:00-05:00,99949.60006713867,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",-0.00011204343272386286
2023-12-28 09:30:00-05:00,99966.10000610352,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",0.00016508259116365664
2023-12-29 09:30:00-05:00,99963.69995117188,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",-2.400868826024638e-05
2023-12-30 09:30:00-05:00,99963.69995117188,98024.70001220703,"[{'asset': USD, 'quantity': 98024.70001220703}, {'asset': AAPL, 'quantity': 10.0}]",0.0
